Cause_of_death,Location,FIPS,Year,Mortality_rate
HIV-AIDS & tuberculosis,United States,,1980,1.52
HIV-AIDS & tuberculosis,Alabama,1.0,1980,1.46
HIV-AIDS & tuberculosis,Alaska,2.0,1980,2.91
HIV-AIDS & tuberculosis,Arizona,4.0,1980,1.61
HIV-AIDS & tuberculosis,Arkansas,5.0,1980,1.03
HIV-AIDS & tuberculosis,California,6.0,1980,2.00
HIV-AIDS & tuberculosis,Colorado,8.0,1980,1.29
HIV-AIDS & tuberculosis,Connecticut,9.0,1980,1.58
HIV-AIDS & tuberculosis,Delaware,10.0,1980,1.54
HIV-AIDS & tuberculosis,District of Columbia,11.0,1980,7.23
HIV-AIDS & tuberculosis,Florida,12.0,1980,2.09
HIV-AIDS & tuberculosis,Georgia,13.0,1980,1.67
HIV-AIDS & tuberculosis,Hawaii,15.0,1980,2.34
HIV-AIDS & tuberculosis,Idaho,16.0,1980,0.64
HIV-AIDS & tuberculosis,Illinois,17.0,1980,1.33
HIV-AIDS & tuberculosis,Indiana,18.0,1980,0.85
HIV-AIDS & tuberculosis,Iowa,19.0,1980,0.56
HIV-AIDS & tuberculosis,Kansas,20.0,1980,0.75
HIV-AIDS & tuberculosis,Kentucky,21.0,1980,1.23
HIV-AIDS & tuberculosis,Louisiana,22.0,1980,1.37
HIV-AIDS & tuberculosis,Maine,23.0,1980,1.06
HIV-AIDS & tuberculosis,Maryland,24.0,1980,1.66
HIV-AIDS & tuberculosis,Massachusetts,25.0,1980,1.37
HIV-AIDS & tuberculosis,Michigan,26.0,1980,0.95
HIV-AIDS & tuberculosis,Minnesota,27.0,1980,0.72
HIV-AIDS & tuberculosis,Mississippi,28.0,1980,1.00
HIV-AIDS & tuberculosis,Missouri,29.0,1980,1.05
HIV-AIDS & tuberculosis,Montana,30.0,1980,0.77
HIV-AIDS & tuberculosis,Nebraska,31.0,1980,0.62
HIV-AIDS & tuberculosis,Nevada,32.0,1980,1.28
HIV-AIDS & tuberculosis,New Hampshire,33.0,1980,0.75
HIV-AIDS & tuberculosis,New Jersey,34.0,1980,2.79
HIV-AIDS & tuberculosis,New Mexico,35.0,1980,1.58
HIV-AIDS & tuberculosis,New York,36.0,1980,2.79
HIV-AIDS & tuberculosis,North Carolina,37.0,1980,1.46
HIV-AIDS & tuberculosis,North Dakota,38.0,1980,0.66
HIV-AIDS & tuberculosis,Ohio,39.0,1980,0.90
HIV-AIDS & tuberculosis,Oklahoma,40.0,1980,0.98
HIV-AIDS & tuberculosis,Oregon,41.0,1980,1.28
HIV-AIDS & tuberculosis,Pennsylvania,42.0,1980,1.31
HIV-AIDS & tuberculosis,Rhode Island,44.0,1980,1.18
HIV-AIDS & tuberculosis,South Carolina,45.0,1980,1.55
HIV-AIDS & tuberculosis,South Dakota,46.0,1980,0.69
HIV-AIDS & tuberculosis,Tennessee,47.0,1980,1.25
HIV-AIDS & tuberculosis,Texas,48.0,1980,1.43
HIV-AIDS & tuberculosis,Utah,49.0,1980,0.96
HIV-AIDS & tuberculosis,Vermont,50.0,1980,0.80
HIV-AIDS & tuberculosis,Virginia,51.0,1980,1.45
HIV-AIDS & tuberculosis,Washington,53.0,1980,1.12
HIV-AIDS & tuberculosis,West Virginia,54.0,1980,1.11
HIV-AIDS & tuberculosis,Wisconsin,55.0,1980,0.82
HIV-AIDS & tuberculosis,Wyoming,56.0,1980,0.65
HIV-AIDS & tuberculosis,United States,,1985,3.16
HIV-AIDS & tuberculosis,Alabama,1.0,1985,2.15
HIV-AIDS & tuberculosis,Alaska,2.0,1985,2.55
HIV-AIDS & tuberculosis,Arizona,4.0,1985,2.28
HIV-AIDS & tuberculosis,Arkansas,5.0,1985,1.51
HIV-AIDS & tuberculosis,California,6.0,1985,4.47
HIV-AIDS & tuberculosis,Colorado,8.0,1985,1.93
HIV-AIDS & tuberculosis,Connecticut,9.0,1985,2.82
HIV-AIDS & tuberculosis,Delaware,10.0,1985,2.87
HIV-AIDS & tuberculosis,District of Columbia,11.0,1985,19.60
HIV-AIDS & tuberculosis,Florida,12.0,1985,4.91
HIV-AIDS & tuberculosis,Georgia,13.0,1985,3.45
HIV-AIDS & tuberculosis,Hawaii,15.0,1985,2.74
HIV-AIDS & tuberculosis,Idaho,16.0,1985,0.81
HIV-AIDS & tuberculosis,Illinois,17.0,1985,2.03
HIV-AIDS & tuberculosis,Indiana,18.0,1985,1.27
HIV-AIDS & tuberculosis,Iowa,19.0,1985,0.77
HIV-AIDS & tuberculosis,Kansas,20.0,1985,1.12
HIV-AIDS & tuberculosis,Kentucky,21.0,1985,1.52
HIV-AIDS & tuberculosis,Louisiana,22.0,1985,3.20
HIV-AIDS & tuberculosis,Maine,23.0,1985,1.34
HIV-AIDS & tuberculosis,Maryland,24.0,1985,3.46
HIV-AIDS & tuberculosis,Massachusetts,25.0,1985,2.47
HIV-AIDS & tuberculosis,Michigan,26.0,1985,1.42
HIV-AIDS & tuberculosis,Minnesota,27.0,1985,1.08
HIV-AIDS & tuberculosis,Mississippi,28.0,1985,1.84
HIV-AIDS & tuberculosis,Missouri,29.0,1985,1.73
HIV-AIDS & tuberculosis,Montana,30.0,1985,0.90
HIV-AIDS & tuberculosis,Nebraska,31.0,1985,0.97
HIV-AIDS & tuberculosis,Nevada,32.0,1985,2.03
HIV-AIDS & tuberculosis,New Hampshire,33.0,1985,0.97
HIV-AIDS & tuberculosis,New Jersey,34.0,1985,6.08
HIV-AIDS & tuberculosis,New Mexico,35.0,1985,2.06
HIV-AIDS & tuberculosis,New York,36.0,1985,9.42
HIV-AIDS & tuberculosis,North Carolina,37.0,1985,2.35
HIV-AIDS & tuberculosis,North Dakota,38.0,1985,0.78
HIV-AIDS & tuberculosis,Ohio,39.0,1985,1.40
HIV-AIDS & tuberculosis,Oklahoma,40.0,1985,1.53
HIV-AIDS & tuberculosis,Oregon,41.0,1985,1.78
HIV-AIDS & tuberculosis,Pennsylvania,42.0,1985,2.12
HIV-AIDS & tuberculosis,Rhode Island,44.0,1985,1.91
HIV-AIDS & tuberculosis,South Carolina,45.0,1985,2.68
HIV-AIDS & tuberculosis,South Dakota,46.0,1985,0.89
HIV-AIDS & tuberculosis,Tennessee,47.0,1985,1.93
HIV-AIDS & tuberculosis,Texas,48.0,1985,2.76
HIV-AIDS & tuberculosis,Utah,49.0,1985,1.18
HIV-AIDS & tuberculosis,Vermont,50.0,1985,1.06
HIV-AIDS & tuberculosis,Virginia,51.0,1985,2.23
HIV-AIDS & tuberculosis,Washington,53.0,1985,1.99
HIV-AIDS & tuberculosis,West Virginia,54.0,1985,1.35
HIV-AIDS & tuberculosis,Wisconsin,55.0,1985,1.09
HIV-AIDS & tuberculosis,Wyoming,56.0,1985,0.78
HIV-AIDS & tuberculosis,United States,,1990,11.45
HIV-AIDS & tuberculosis,Alabama,1.0,1990,8.03
HIV-AIDS & tuberculosis,Alaska,2.0,1990,5.49
HIV-AIDS & tuberculosis,Arizona,4.0,1990,8.90
HIV-AIDS & tuberculosis,Arkansas,5.0,1990,6.33
HIV-AIDS & tuberculosis,California,6.0,1990,15.64
HIV-AIDS & tuberculosis,Colorado,8.0,1990,8.35
HIV-AIDS & tuberculosis,Connecticut,9.0,1990,10.10
HIV-AIDS & tuberculosis,Delaware,10.0,1990,11.12
HIV-AIDS & tuberculosis,District of Columbia,11.0,1990,71.66
HIV-AIDS & tuberculosis,Florida,12.0,1990,18.25
HIV-AIDS & tuberculosis,Georgia,13.0,1990,14.20
HIV-AIDS & tuberculosis,Hawaii,15.0,1990,7.83
HIV-AIDS & tuberculosis,Idaho,16.0,1990,3.19
HIV-AIDS & tuberculosis,Illinois,17.0,1990,9.03
HIV-AIDS & tuberculosis,Indiana,18.0,1990,5.35
HIV-AIDS & tuberculosis,Iowa,19.0,1990,3.24
HIV-AIDS & tuberculosis,Kansas,20.0,1990,4.65
HIV-AIDS & tuberculosis,Kentucky,21.0,1990,5.32
HIV-AIDS & tuberculosis,Louisiana,22.0,1990,12.30
HIV-AIDS & tuberculosis,Maine,23.0,1990,4.24
HIV-AIDS & tuberculosis,Maryland,24.0,1990,13.96
HIV-AIDS & tuberculosis,Massachusetts,25.0,1990,8.61
HIV-AIDS & tuberculosis,Michigan,26.0,1990,6.09
HIV-AIDS & tuberculosis,Minnesota,27.0,1990,4.30
HIV-AIDS & tuberculosis,Mississippi,28.0,1990,8.68
HIV-AIDS & tuberculosis,Missouri,29.0,1990,7.01
HIV-AIDS & tuberculosis,Montana,30.0,1990,3.39
HIV-AIDS & tuberculosis,Nebraska,31.0,1990,4.07
HIV-AIDS & tuberculosis,Nevada,32.0,1990,8.35
HIV-AIDS & tuberculosis,New Hampshire,33.0,1990,3.49
HIV-AIDS & tuberculosis,New Jersey,34.0,1990,19.59
HIV-AIDS & tuberculosis,New Mexico,35.0,1990,6.82
HIV-AIDS & tuberculosis,New York,36.0,1990,28.40
HIV-AIDS & tuberculosis,North Carolina,37.0,1990,8.94
HIV-AIDS & tuberculosis,North Dakota,38.0,1990,2.82
HIV-AIDS & tuberculosis,Ohio,39.0,1990,5.74
HIV-AIDS & tuberculosis,Oklahoma,40.0,1990,6.67
HIV-AIDS & tuberculosis,Oregon,41.0,1990,6.80
HIV-AIDS & tuberculosis,Pennsylvania,42.0,1990,8.02
HIV-AIDS & tuberculosis,Rhode Island,44.0,1990,7.16
HIV-AIDS & tuberculosis,South Carolina,45.0,1990,10.75
HIV-AIDS & tuberculosis,South Dakota,46.0,1990,3.49
HIV-AIDS & tuberculosis,Tennessee,47.0,1990,7.51
HIV-AIDS & tuberculosis,Texas,48.0,1990,11.89
HIV-AIDS & tuberculosis,Utah,49.0,1990,4.25
HIV-AIDS & tuberculosis,Vermont,50.0,1990,3.99
HIV-AIDS & tuberculosis,Virginia,51.0,1990,7.88
HIV-AIDS & tuberculosis,Washington,53.0,1990,6.96
HIV-AIDS & tuberculosis,West Virginia,54.0,1990,4.95
HIV-AIDS & tuberculosis,Wisconsin,55.0,1990,3.93
HIV-AIDS & tuberculosis,Wyoming,56.0,1990,3.02
HIV-AIDS & tuberculosis,United States,,1995,16.61
HIV-AIDS & tuberculosis,Alabama,1.0,1995,14.10
HIV-AIDS & tuberculosis,Alaska,2.0,1995,8.19
HIV-AIDS & tuberculosis,Arizona,4.0,1995,13.18
HIV-AIDS & tuberculosis,Arkansas,5.0,1995,11.02
HIV-AIDS & tuberculosis,California,6.0,1995,19.68
HIV-AIDS & tuberculosis,Colorado,8.0,1995,10.69
HIV-AIDS & tuberculosis,Connecticut,9.0,1995,16.38
HIV-AIDS & tuberculosis,Delaware,10.0,1995,19.72
HIV-AIDS & tuberculosis,District of Columbia,11.0,1995,101.08
HIV-AIDS & tuberculosis,Florida,12.0,1995,27.49
HIV-AIDS & tuberculosis,Georgia,13.0,1995,21.73
HIV-AIDS & tuberculosis,Hawaii,15.0,1995,11.44
HIV-AIDS & tuberculosis,Idaho,16.0,1995,5.34
HIV-AIDS & tuberculosis,Illinois,17.0,1995,14.15
HIV-AIDS & tuberculosis,Indiana,18.0,1995,9.01
HIV-AIDS & tuberculosis,Iowa,19.0,1995,5.49
HIV-AIDS & tuberculosis,Kansas,20.0,1995,7.67
HIV-AIDS & tuberculosis,Kentucky,21.0,1995,9.05
HIV-AIDS & tuberculosis,Louisiana,22.0,1995,20.46
HIV-AIDS & tuberculosis,Maine,23.0,1995,6.80
HIV-AIDS & tuberculosis,Maryland,24.0,1995,24.13
HIV-AIDS & tuberculosis,Massachusetts,25.0,1995,14.07
HIV-AIDS & tuberculosis,Michigan,26.0,1995,10.15
HIV-AIDS & tuberculosis,Minnesota,27.0,1995,6.65
HIV-AIDS & tuberculosis,Mississippi,28.0,1995,15.58
HIV-AIDS & tuberculosis,Missouri,29.0,1995,11.24
HIV-AIDS & tuberculosis,Montana,30.0,1995,5.65
HIV-AIDS & tuberculosis,Nebraska,31.0,1995,6.64
HIV-AIDS & tuberculosis,Nevada,32.0,1995,13.44
HIV-AIDS & tuberculosis,New Hampshire,33.0,1995,5.37
HIV-AIDS & tuberculosis,New Jersey,34.0,1995,25.65
HIV-AIDS & tuberculosis,New Mexico,35.0,1995,10.90
HIV-AIDS & tuberculosis,New York,36.0,1995,36.53
HIV-AIDS & tuberculosis,North Carolina,37.0,1995,15.45
HIV-AIDS & tuberculosis,North Dakota,38.0,1995,4.68
HIV-AIDS & tuberculosis,Ohio,39.0,1995,9.98
HIV-AIDS & tuberculosis,Oklahoma,40.0,1995,11.11
HIV-AIDS & tuberculosis,Oregon,41.0,1995,9.85
HIV-AIDS & tuberculosis,Pennsylvania,42.0,1995,12.88
HIV-AIDS & tuberculosis,Rhode Island,44.0,1995,11.08
HIV-AIDS & tuberculosis,South Carolina,45.0,1995,17.98
HIV-AIDS & tuberculosis,South Dakota,46.0,1995,5.93
HIV-AIDS & tuberculosis,Tennessee,47.0,1995,13.21
HIV-AIDS & tuberculosis,Texas,48.0,1995,16.31
HIV-AIDS & tuberculosis,Utah,49.0,1995,7.14
HIV-AIDS & tuberculosis,Vermont,50.0,1995,6.03
HIV-AIDS & tuberculosis,Virginia,51.0,1995,12.56
HIV-AIDS & tuberculosis,Washington,53.0,1995,10.54
HIV-AIDS & tuberculosis,West Virginia,54.0,1995,8.20
HIV-AIDS & tuberculosis,Wisconsin,55.0,1995,6.40
HIV-AIDS & tuberculosis,Wyoming,56.0,1995,5.19
HIV-AIDS & tuberculosis,United States,,2000,5.97
HIV-AIDS & tuberculosis,Alabama,1.0,2000,5.47
HIV-AIDS & tuberculosis,Alaska,2.0,2000,2.84
HIV-AIDS & tuberculosis,Arizona,4.0,2000,4.16
HIV-AIDS & tuberculosis,Arkansas,5.0,2000,3.79
HIV-AIDS & tuberculosis,California,6.0,2000,5.84
HIV-AIDS & tuberculosis,Colorado,8.0,2000,2.91
HIV-AIDS & tuberculosis,Connecticut,9.0,2000,5.96
HIV-AIDS & tuberculosis,Delaware,10.0,2000,8.53
HIV-AIDS & tuberculosis,District of Columbia,11.0,2000,45.85
HIV-AIDS & tuberculosis,Florida,12.0,2000,11.39
HIV-AIDS & tuberculosis,Georgia,13.0,2000,9.17
HIV-AIDS & tuberculosis,Hawaii,15.0,2000,3.55
HIV-AIDS & tuberculosis,Idaho,16.0,2000,1.42
HIV-AIDS & tuberculosis,Illinois,17.0,2000,4.89
HIV-AIDS & tuberculosis,Indiana,18.0,2000,2.76
HIV-AIDS & tuberculosis,Iowa,19.0,2000,1.49
HIV-AIDS & tuberculosis,Kansas,20.0,2000,2.20
HIV-AIDS & tuberculosis,Kentucky,21.0,2000,2.83
HIV-AIDS & tuberculosis,Louisiana,22.0,2000,8.94
HIV-AIDS & tuberculosis,Maine,23.0,2000,1.98
HIV-AIDS & tuberculosis,Maryland,24.0,2000,10.15
HIV-AIDS & tuberculosis,Massachusetts,25.0,2000,4.57
HIV-AIDS & tuberculosis,Michigan,26.0,2000,3.32
HIV-AIDS & tuberculosis,Minnesota,27.0,2000,1.83
HIV-AIDS & tuberculosis,Mississippi,28.0,2000,6.29
HIV-AIDS & tuberculosis,Missouri,29.0,2000,3.56
HIV-AIDS & tuberculosis,Montana,30.0,2000,1.51
HIV-AIDS & tuberculosis,Nebraska,31.0,2000,2.04
HIV-AIDS & tuberculosis,Nevada,32.0,2000,4.99
HIV-AIDS & tuberculosis,New Hampshire,33.0,2000,1.54
HIV-AIDS & tuberculosis,New Jersey,34.0,2000,10.52
HIV-AIDS & tuberculosis,New Mexico,35.0,2000,3.25
HIV-AIDS & tuberculosis,New York,36.0,2000,13.54
HIV-AIDS & tuberculosis,North Carolina,37.0,2000,5.99
HIV-AIDS & tuberculosis,North Dakota,38.0,2000,1.28
HIV-AIDS & tuberculosis,Ohio,39.0,2000,3.06
HIV-AIDS & tuberculosis,Oklahoma,40.0,2000,3.69
HIV-AIDS & tuberculosis,Oregon,41.0,2000,2.78
HIV-AIDS & tuberculosis,Pennsylvania,42.0,2000,4.69
HIV-AIDS & tuberculosis,Rhode Island,44.0,2000,4.12
HIV-AIDS & tuberculosis,South Carolina,45.0,2000,7.13
HIV-AIDS & tuberculosis,South Dakota,46.0,2000,1.71
HIV-AIDS & tuberculosis,Tennessee,47.0,2000,5.29
HIV-AIDS & tuberculosis,Texas,48.0,2000,6.00
HIV-AIDS & tuberculosis,Utah,49.0,2000,1.93
HIV-AIDS & tuberculosis,Vermont,50.0,2000,1.65
HIV-AIDS & tuberculosis,Virginia,51.0,2000,4.49
HIV-AIDS & tuberculosis,Washington,53.0,2000,2.85
HIV-AIDS & tuberculosis,West Virginia,54.0,2000,2.42
HIV-AIDS & tuberculosis,Wisconsin,55.0,2000,1.91
HIV-AIDS & tuberculosis,Wyoming,56.0,2000,1.32
HIV-AIDS & tuberculosis,United States,,2005,4.87
HIV-AIDS & tuberculosis,Alabama,1.0,2005,4.67
HIV-AIDS & tuberculosis,Alaska,2.0,2005,2.34
HIV-AIDS & tuberculosis,Arizona,4.0,2005,3.37
HIV-AIDS & tuberculosis,Arkansas,5.0,2005,3.38
HIV-AIDS & tuberculosis,California,6.0,2005,4.73
HIV-AIDS & tuberculosis,Colorado,8.0,2005,2.47
HIV-AIDS & tuberculosis,Connecticut,9.0,2005,4.81
HIV-AIDS & tuberculosis,Delaware,10.0,2005,7.37
HIV-AIDS & tuberculosis,District of Columbia,11.0,2005,37.31
HIV-AIDS & tuberculosis,Florida,12.0,2005,9.54
HIV-AIDS & tuberculosis,Georgia,13.0,2005,7.46
HIV-AIDS & tuberculosis,Hawaii,15.0,2005,2.60
HIV-AIDS & tuberculosis,Idaho,16.0,2005,1.11
HIV-AIDS & tuberculosis,Illinois,17.0,2005,3.83
HIV-AIDS & tuberculosis,Indiana,18.0,2005,2.36
HIV-AIDS & tuberculosis,Iowa,19.0,2005,1.19
HIV-AIDS & tuberculosis,Kansas,20.0,2005,1.83
HIV-AIDS & tuberculosis,Kentucky,21.0,2005,2.30
HIV-AIDS & tuberculosis,Louisiana,22.0,2005,8.08
HIV-AIDS & tuberculosis,Maine,23.0,2005,1.54
HIV-AIDS & tuberculosis,Maryland,24.0,2005,8.53
HIV-AIDS & tuberculosis,Massachusetts,25.0,2005,3.64
HIV-AIDS & tuberculosis,Michigan,26.0,2005,2.61
HIV-AIDS & tuberculosis,Minnesota,27.0,2005,1.38
HIV-AIDS & tuberculosis,Mississippi,28.0,2005,6.00
HIV-AIDS & tuberculosis,Missouri,29.0,2005,2.81
HIV-AIDS & tuberculosis,Montana,30.0,2005,1.16
HIV-AIDS & tuberculosis,Nebraska,31.0,2005,1.72
HIV-AIDS & tuberculosis,Nevada,32.0,2005,4.47
HIV-AIDS & tuberculosis,New Hampshire,33.0,2005,1.20
HIV-AIDS & tuberculosis,New Jersey,34.0,2005,8.04
HIV-AIDS & tuberculosis,New Mexico,35.0,2005,2.65
HIV-AIDS & tuberculosis,New York,36.0,2005,10.26
HIV-AIDS & tuberculosis,North Carolina,37.0,2005,5.11
HIV-AIDS & tuberculosis,North Dakota,38.0,2005,0.99
HIV-AIDS & tuberculosis,Ohio,39.0,2005,2.52
HIV-AIDS & tuberculosis,Oklahoma,40.0,2005,3.12
HIV-AIDS & tuberculosis,Oregon,41.0,2005,2.25
HIV-AIDS & tuberculosis,Pennsylvania,42.0,2005,3.70
HIV-AIDS & tuberculosis,Rhode Island,44.0,2005,3.08
HIV-AIDS & tuberculosis,South Carolina,45.0,2005,6.24
HIV-AIDS & tuberculosis,South Dakota,46.0,2005,1.39
HIV-AIDS & tuberculosis,Tennessee,47.0,2005,4.54
HIV-AIDS & tuberculosis,Texas,48.0,2005,5.21
HIV-AIDS & tuberculosis,Utah,49.0,2005,1.42
HIV-AIDS & tuberculosis,Vermont,50.0,2005,1.23
HIV-AIDS & tuberculosis,Virginia,51.0,2005,3.63
HIV-AIDS & tuberculosis,Washington,53.0,2005,2.31
HIV-AIDS & tuberculosis,West Virginia,54.0,2005,1.93
HIV-AIDS & tuberculosis,Wisconsin,55.0,2005,1.51
HIV-AIDS & tuberculosis,Wyoming,56.0,2005,1.01
HIV-AIDS & tuberculosis,United States,,2010,3.20
HIV-AIDS & tuberculosis,Alabama,1.0,2010,3.35
HIV-AIDS & tuberculosis,Alaska,2.0,2010,1.50
HIV-AIDS & tuberculosis,Arizona,4.0,2010,2.14
HIV-AIDS & tuberculosis,Arkansas,5.0,2010,2.34
HIV-AIDS & tuberculosis,California,6.0,2010,2.95
HIV-AIDS & tuberculosis,Colorado,8.0,2010,1.51
HIV-AIDS & tuberculosis,Connecticut,9.0,2010,3.01
HIV-AIDS & tuberculosis,Delaware,10.0,2010,5.04
HIV-AIDS & tuberculosis,District of Columbia,11.0,2010,21.52
HIV-AIDS & tuberculosis,Florida,12.0,2010,6.44
HIV-AIDS & tuberculosis,Georgia,13.0,2010,5.20
HIV-AIDS & tuberculosis,Hawaii,15.0,2010,1.67
HIV-AIDS & tuberculosis,Idaho,16.0,2010,0.67
HIV-AIDS & tuberculosis,Illinois,17.0,2010,2.50
HIV-AIDS & tuberculosis,Indiana,18.0,2010,1.64
HIV-AIDS & tuberculosis,Iowa,19.0,2010,0.74
HIV-AIDS & tuberculosis,Kansas,20.0,2010,1.14
HIV-AIDS & tuberculosis,Kentucky,21.0,2010,1.54
HIV-AIDS & tuberculosis,Louisiana,22.0,2010,5.42
HIV-AIDS & tuberculosis,Maine,23.0,2010,0.92
HIV-AIDS & tuberculosis,Maryland,24.0,2010,5.58
HIV-AIDS & tuberculosis,Massachusetts,25.0,2010,2.13
HIV-AIDS & tuberculosis,Michigan,26.0,2010,1.61
HIV-AIDS & tuberculosis,Minnesota,27.0,2010,0.93
HIV-AIDS & tuberculosis,Mississippi,28.0,2010,4.45
HIV-AIDS & tuberculosis,Missouri,29.0,2010,1.80
HIV-AIDS & tuberculosis,Montana,30.0,2010,0.69
HIV-AIDS & tuberculosis,Nebraska,31.0,2010,1.09
HIV-AIDS & tuberculosis,Nevada,32.0,2010,2.71
HIV-AIDS & tuberculosis,New Hampshire,33.0,2010,0.68
HIV-AIDS & tuberculosis,New Jersey,34.0,2010,5.14
